month_year,price_gas,price_oil,price_prop,month,year,t_month,t
1990-10-01,1.84,1.3731135576018962,1.083,10,1990,1,1990.75
1990-11-01,2.12,1.336369968541315,1.046,11,1990,2,1990.8333333333333
1990-12-01,2.13,1.2865934117891515,1.001,12,1990,3,1990.9166666666667
1991-01-01,2.11,1.2731465252934786,1.003,1,1991,4,1991
1991-02-01,1.92,1.1879011035845872,0.92,2,1991,5,1991.0833333333333
1991-03-01,1.86,1.095560444097569,0.881,3,1991,6,1991.1666666666667
1991-10-01,1.8,1.0272197846105506,0.887,10,1991,7,1991.75
1991-11-01,1.91,1.0696776603367508,0.917,11,1991,8,1991.8333333333333
1991-12-01,1.98,1.0512417630716056,0.916,12,1991,9,1991.9166666666667
1992-01-01,1.98,1.0172417630716055,0.888,1,1992,10,1992
1992-02-01,1.68,1.0135384656365138,0.877,2,1992,11,1992.0833333333333
1992-03-01,1.65,0.9998681358930046,0.863,3,1992,12,1992.1666666666667
1992-10-01,2.22,1.029604401019679,0.865,10,1992,13,1992.75
1992-11-01,1.96,1.0267948765759327,0.876,11,1992,14,1992.8333333333333
1992-12-01,2.13,1.0215934117891514,0.899,12,1992,15,1992.9166666666667
1993-01-01,2.07,1.021252752302133,0.968,1,1993,16,1993
1993-02-01,1.89,1.020230773841078,0.937,2,1993,17,1993.0833333333333
1993-03-01,1.94,1.0283479900802601,0.944,3,1993,18,1993.1666666666667
1993-10-01,1.93,0.9901245468324236,0.872,10,1993,19,1993.75
1993-11-01,2.07,0.9932527523021331,0.88,11,1993,20,1993.8333333333333
1993-12-01,2.27,0.9767216172588611,0.88,12,1993,21,1993.9166666666667
1994-01-01,2.11,1.0131465252934786,0.896,1,1994,22,1994
1994-02-01,2.24,1.037051287515352,0.908,2,1994,23,1994.0833333333333
1994-03-01,2.21,1.0193809577718427,0.898,3,1994,24,1994.1666666666667
1994-10-01,1.54,0.9384102601668044,0.838,10,1994,25,1994.75
1994-11-01,1.71,0.951208795380023,0.863,11,1994,26,1994.8333333333333
1994-12-01,1.72,0.9574322386278594,0.867,12,1994,27,1994.9166666666667
1995-01-01,1.6,0.9637509196538228,0.885,1,1995,28,1995
1995-02-01,1.46,0.9636227141841133,0.892,2,1995,29,1995.0833333333333
1995-03-01,1.4,0.9542820546970949,0.903,3,1995,30,1995.1666666666667
1995-10-01,1.48,0.9350696006797861,0.886,10,1995,31,1995.75
1995-11-01,1.61,0.9549743629016592,0.898,11,1995,32,1995.8333333333333
1995-12-01,1.8,1.0042197846105505,0.924,12,1995,33,1995.9166666666667
1996-01-01,2.09,1.068699638797806,0.982,1,1996,34,1996
1996-02-01,1.95,1.0805714333280965,1.029,2,1996,35,1996.0833333333333
1996-03-01,1.92,1.0949011035845873,1.011,3,1996,36,1996.1666666666667
1996-10-01,1.71,1.171208795380023,1.062,10,1996,37,1996.75
1996-11-01,2.26,1.1934981740110246,1.196,11,1996,38,1996.8333333333333
1996-12-01,3,1.2260329743509177,1.333,12,1996,39,1996.9166666666667
1997-01-01,3.26,1.2288424987946638,1.255,1,1997,40,1997
1997-02-01,2.52,1.1963076984547707,1.139,2,1997,41,1997.0833333333333
1997-03-01,1.72,1.1314322386278595,1.079,3,1997,42,1997.1666666666667
1997-10-01,2.33,1.0390622767458793,0.959,10,1997,43,1997.75
1997-11-01,2.72,1.0617765634114986,0.973,11,1997,44,1997.8333333333333
1997-12-01,2.19,1.0499340712761698,0.979,12,1997,45,1997.9166666666667
1998-01-01,2.08,1.0354761955499696,0.98,1,1998,46,1998
1998-02-01,1.94,1.0203479900802601,0.971,2,1998,47,1998.0833333333333
1998-03-01,1.98,1.0012417630716055,0.957,3,1998,48,1998.1666666666667
1998-10-01,1.93,0.9121245468324236,0.873,10,1998,49,1998.75
1998-11-01,2.12,0.9133699685413151,0.877,11,1998,50,1998.8333333333333
1998-12-01,2.16,0.9032637415326606,0.88,12,1998,51,1998.9166666666667
1999-01-01,2.03,0.9083589793107876,0.891,1,1999,52,1999
1999-02-01,1.93,0.9001245468324236,0.89,2,1999,53,1999.0833333333333
1999-03-01,1.8,0.8982197846105505,0.889,3,1999,54,1999.1666666666667
1999-10-01,2.5,1.061860811959098,0.967,10,1999,55,1999.75
1999-11-01,2.85,1.1176813256333717,0.984,11,1999,56,1999.8333333333333
1999-12-01,2.34,1.1732857199937157,1.007,12,1999,57,1999.9166666666667
2000-01-01,2.44,1.7215201524720798,1.165,1,2000,58,2000
2000-02-01,2.6,1.4570952444374619,1.227,2,2000,59,2000.0833333333333
2000-03-01,2.61,1.4113186876852983,1.199,3,2000,60,2000.1666666666667
2000-10-01,5.16,1.6202967158835782,1.288,10,2000,61,2000.75
2000-11-01,4.86,1.6725934184484865,1.296,11,2000,62,2000.8333333333333
2000-12-01,7.35,1.7042307871597482,1.538,12,2000,63,2000.9166666666667
2001-01-01,9.47,1.7366007557010632,1.663,1,2001,64,2001
2001-02-01,6.45,1.6061208948544727,1.507,2,2001,65,2001.0833333333333
2001-03-01,5.42,1.5281062403273244,1.397,3,2001,66,2001.1666666666667
2001-10-01,2.14,1.273816855036988,1.135,10,2001,67,2001.75
2001-11-01,2.95,1.2329157581117356,1.126,11,2001,68,2001.8333333333333
2001-12-01,2.68,1.2188827904201531,1.127,12,2001,69,2001.9166666666667
2002-01-01,2.73,1.222000006659335,1.135,1,2002,70,2002
2002-02-01,2.32,1.2108388334980429,1.125,2,2002,71,2002.0833333333333
2002-03-01,2.61,1.2453186876852984,1.123,3,2002,72,2002.1666666666667
2002-10-01,3.56,1.3515457962297557,1.141,10,2002,73,2002.75
2002-11-01,4.04,1.3692710721259023,1.168,11,2002,74,2002.8333333333333
2002-12-01,4.2,1.5018461640912846,1.252,12,2002,75,2002.9166666666667
2003-01-01,4.89,1.6062637481919957,1.359,1,2003,76,2003
2003-02-01,5.71,1.87958609451458,1.504,2,2003,77,2003.0833333333333
2003-03-01,7.61,1.9730403116034942,1.581,3,2003,78,2003.1666666666667
2003-10-01,4.48,1.4861025750307035,1.325,10,2003,79,2003.75
2003-11-01,4.51,1.5117729047742128,1.336,11,2003,80,2003.8333333333333
2003-12-01,5.08,1.6045091699008873,1.418,12,2003,81,2003.9166666666667
2004-01-01,5.98,1.7556190622061625,1.536,1,2004,82,2004
2004-02-01,5.67,1.7356923215232343,1.535,2,2004,83,2004.0833333333333
2004-03-01,5.15,1.706073272635742,1.483,3,2004,84,2004.1666666666667
2004-10-01,5.38,2.180212467335979,1.657,10,2004,85,2004.75
2004-11-01,6.98,2.1859633869898016,1.704,11,2004,86,2004.8333333333333
2004-12-01,6.96,2.133516500494129,1.729,12,2004,87,2004.9166666666667
2005-01-01,6.3,2.1587692461369268,1.728,1,2005,88,2005
2005-02-01,6.14,2.180194154171545,1.717,2,2005,89,2005.0833333333333
2005-03-01,6.24,2.258428586649909,1.721,3,2005,90,2005.1666666666667
2005-10-01,11.99,2.844908454155834,1.962,10,2005,91,2005.75
2005-11-01,11.31,2.669714313302959,1.938,11,2005,92,2005.8333333333333
2005-12-01,10.91,2.6767765833895036,2.006,12,2005,93,2005.9166666666667
2006-01-01,10.11,2.6869011235625924,2.003,1,2006,94,2006
2006-02-01,7.96,2.5898608252777677,1.997,2,2006,95,2006.0833333333333
2006-03-01,7,2.5754102734854745,1.984,3,2006,96,2006.1666666666667
2006-10-01,4.88,2.4910403049441596,1.934,10,2006,97,2006.75
2006-11-01,7.24,2.5407729114335478,1.95,11,2006,98,2006.8333333333333
2006-12-01,7.6,2.603816868355658,1.984,12,2006,99,2006.9166666666667
2007-01-01,6.5,2.5052381110936546,1.996,1,2007,100,2007
2007-02-01,7.39,2.6381245601510934,2.029,2,2007,101,2007.0833333333333
2007-03-01,7.45,2.6614652196381123,2.046,3,2007,102,2007.1666666666667
2007-10-01,6.35,3.0948864623761088,2.248,10,2007,103,2007.75
2007-11-01,7.21,3.4481025816900384,2.449,11,2007,104,2007.8333333333333
2007-12-01,7.51,3.5088058791251306,2.524,12,2007,105,2007.9166666666667
2008-01-01,7.66,3.487157527842676,2.562,1,2008,106,2008
2008-02-01,8.34,3.647351668695551,2.58,2,2008,107,2008.0833333333333
2008-03-01,9.03,4.053769252796262,2.598,3,2008,108,2008.1666666666667
2008-10-01,6.87,3.2125055112636014,2.527,10,2008,109,2008.75
2008-11-01,6.54,2.8591318840850004,2.415,11,2008,110,2008.8333333333333
2008-12-01,6.74,2.480600749041728,2.317,12,2008,111,2008.9166666666667
2009-01-01,6.18,2.53808792716289,2.324,1,2009,112,2009
2009-02-01,5.21,2.3494139321227605,2.292,2,2009,113,2009.0833333333333
2009-03-01,4.34,2.2569743695609943,2.223,3,2009,114,2009.1666666666667
2009-10-01,3.92,2.8175897531518657,2.06,10,2009,115,2009.75
2009-11-01,4.4,2.8553150290480125,2.209,11,2009,116,2009.8333333333333
2009-12-01,5.23,2.926860818618433,2.381,12,2009,117,2009.9166666666667
2010-01-01,5.95,3.044948732462653,2.601,1,2010,118,2010
2010-02-01,5.62,3.040575105284052,2.6,2,2010,119,2010.0833333333333
2010-03-01,4.87,3.0458168616963226,2.523,3,2010,120,2010.1666666666667
2010-10-01,3.83,3.0755787639213383,2.302,10,2010,121,2010.75
2010-11-01,3.96,3.2094835261432113,2.438,11,2010,122,2010.8333333333333
2010-12-01,4.56,3.422890121013395,2.572,12,2010,123,2010.9166666666667
2011-01-01,4.66,3.6341245534917586,2.666,1,2011,124,2011
2011-02-01,4.49,3.86232601827854,2.718,2,2011,125,2011.0833333333333
2011-03-01,4.24,3.97473993708263,2.701,3,2011,126,2011.1666666666667
2011-10-01,4.06,3.9447179586215753,2.665,10,2011,127,2011.75
2011-11-01,3.58,3.9819926827254286,2.701,11,2011,128,2011.8333333333333
2011-12-01,3.66,3.9247802287081193,2.712,12,2011,129,2011.9166666666667
2012-01-01,3.27,4.0420659420425,2.708,1,2012,130,2012
2012-02-01,2.86,4.188904768881208,2.709,2,2012,131,2012.0833333333333
2012-03-01,2.36,4.1757326064893885,2.705,3,2012,132,2012.1666666666667
2012-10-01,3.16,4.0796080663163,2.216,10,2012,133,2012.75
2012-11-01,4.03,4.1200476288780665,2.244,11,2012,134,2012.8333333333333
2012-12-01,3.93,4.0748131963997025,2.262,12,2012,135,2012.9166666666667
2013-01-01,4.14,4.137505504604266,2.297,1,2013,136,2013
2013-02-01,3.99,4.24215385588672,2.319,2,2013,137,2013.0833333333333
2013-03-01,3.84,4.114802207169174,2.311,3,2013,138,2013.1666666666667
2013-10-01,3.4,3.8949707042643733,2.406,10,2013,139,2013.75
2013-11-01,3.77,3.97223810443432,2.542,11,2013,140,2013.8333333333333
2013-12-01,4.75,4.143135542722286,2.802,12,2013,141,2013.9166666666667
2014-01-01,7.15,4.33576192220302,4.01,1,2014,142,2014
2014-02-01,9.11,4.445556798778953,3.477,2,2014,143,2014.0833333333333
2014-03-01,8.12,4.3044359172431506,3.079,3,2014,144,2014.1666666666667
2014-10-01,3.87,3.5394725369126836,2.413,10,2014,145,2014.75
2014-11-01,3.97,3.4527069693910475,2.401,11,2014,146,2014.8333333333333
2014-12-01,4.44,3.142208802039358,2.368,12,2014,147,2014.9166666666667
2015-01-01,4.75,2.9231355427222865,2.376,1,2015,148,2015
2015-02-01,5.46,3.30800001331867,2.353,2,2015,149,2015.0833333333333
2015-03-01,3.9,2.974142866656193,2.292,3,2015,150,2015.1666666666667
2015-10-01,3.23,2.4941721690511547,1.909,10,2015,151,2015.75
2015-11-01,2.4,2.414626379480734,1.963,11,2015,152,2015.8333333333333
2015-12-01,2.28,2.2259450605066973,1.996,12,2015,153,2015.9166666666667
2016-01-01,2.8,2.1285641093941896,2.019,1,2016,154,2016
2016-02-01,2.43,2.143296709224243,2.026,2,2016,155,2016.0833333333333
2016-03-01,1.73,2.1696556818756956,2.008,3,2016,156,2016.1666666666667
2016-10-01,2.59,2.4568718011896253,2.059,10,2016,157,2016.75
2016-11-01,2.7,2.4613296769158257,2.077,11,2016,158,2016.8333333333333
2016-12-01,3.5,2.6652051367427374,2.213,12,2016,159,2016.9166666666667
2017-01-01,3.74,2.7145677746908103,2.394,1,2017,160,2017
2017-02-01,3.14,2.718161179820627,2.417,2,2017,161,2017.0833333333333
2017-03-01,2.68,2.6458827904201527,2.39,3,2017,162,2017.1666666666667
2017-10-01,2.06,2.742029309054297,2.344,10,2017,163,2017.75
2017-11-01,2.53,2.902531141702607,2.435,11,2017,164,2017.8333333333333
2017-12-01,3.27,2.9930659420425,2.496,12,2017,165,2017.9166666666667
2018-01-01,4.41,3.3195384722958488,2.598,1,2018,166,2018
2018-02-01,3.02,3.1624798608465907,2.557,2,2018,167,2018.0833333333333
2018-03-01,2.45,3.149743595719916,2.48,3,2018,168,2018.1666666666667
2018-10-01,2.61,3.4303186876852982,2.418,10,2018,169,2018.75
2018-11-01,4.1,3.365611731612921,2.423,11,2018,170,2018.8333333333333
2018-12-01,4.89,3.210263748191996,2.433,12,2018,171,2018.9166666666667
2019-01-01,4.3,3.2670805965696483,2.428,1,2019,172,2019
2019-02-01,4.06,3.320717958621575,2.43,2,2019,173,2019.0833333333333
2019-03-01,3.79,3.3036849909299923,2.397,3,2019,174,2019.1666666666667
2019-10-01,2.15,3.017040298284824,1.845,10,2019,175,2019.75
2019-11-01,2.8,3.05656410939419,1.999,11,2019,176,2019.8333333333333
2019-12-01,3.23,3.1491721690511545,2.011,12,2019,177,2019.9166666666667
2020-01-01,2.91,3.06102198512039,1.994,1,2020,178,2020
2020-02-01,2.16,2.9402637415326605,1.977,2,2020,179,2020.0833333333333
2020-03-01,1.72,2.4594322386278593,1.869,3,2020,180,2020.1666666666667
2020-10-01,2.17,2.1904871847804968,1.801,10,2020,181,2020.75
2020-11-01,2.78,2.326117222898517,1.859,11,2020,182,2020.8333333333333
2020-12-01,2.89,2.5035750986247174,1.97,12,2020,183,2020.9166666666667
2021-01-01,3.03,2.6367033040944268,2.197,1,2021,184,2021
2021-02-01,5.82,2.93804397024078,2.492,2,2021,185,2021.0833333333333
